frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_rolloff,initial_linear_model_DN
9.900000000000000000e+01,1.038090239999999937e+02,1.400000000000000000e+03,3.752776749732567652e+01,3.780068728522334442e-02,1.455000000000000000e+03
1.000000000000000000e+02,1.048575999999999908e+02,1.419000000000000000e+03,3.815756805667782459e+01,3.469387755102038007e-02,1.470000000000000000e+03
1.010000000000000000e+02,1.059061760000000021e+02,1.430000000000000000e+03,3.638681079732050705e+01,3.703703703703709049e-02,1.485000000000000000e+03
1.020000000000000000e+02,1.069547519999999992e+02,1.444000000000000000e+03,3.754108860080290100e+01,3.733333333333332948e-02,1.500000000000000000e+03
1.030000000000000000e+02,1.080033279999999962e+02,1.461000000000000000e+03,3.831557559705104410e+01,3.564356435643567522e-02,1.515000000000000000e+03
1.040000000000000000e+02,1.090519039999999933e+02,1.470000000000000000e+03,3.873413653785680566e+01,3.921568627450977562e-02,1.530000000000000000e+03
1.050000000000000000e+02,1.101004799999999904e+02,1.484000000000000000e+03,3.900000000000000000e+01,3.948220064724916600e-02,1.545000000000000000e+03
1.060000000000000000e+02,1.111490560000000016e+02,1.499000000000000000e+03,3.931072796748151177e+01,3.910256410256407467e-02,1.560000000000000000e+03
1.070000000000000000e+02,1.121976319999999987e+02,1.510000000000000000e+03,4.099186911246343357e+01,4.126984126984123424e-02,1.575000000000000000e+03
1.080000000000000000e+02,1.132462079999999958e+02,1.527000000000000000e+03,3.869539162915053510e+01,3.962264150943395347e-02,1.590000000000000000e+03
1.090000000000000000e+02,1.142947839999999928e+02,1.539000000000000000e+03,3.754108860080290100e+01,4.112149532710285271e-02,1.605000000000000000e+03
1.100000000000000000e+02,1.153433599999999899e+02,1.555000000000000000e+03,3.873413653785680566e+01,4.012345679012341293e-02,1.620000000000000000e+03
1.110000000000000000e+02,1.163919360000000012e+02,1.569000000000000000e+03,3.815756805667782459e+01,4.036697247706422242e-02,1.635000000000000000e+03
1.120000000000000000e+02,1.174405119999999982e+02,1.582000000000000000e+03,3.869539162915053510e+01,4.121212121212125545e-02,1.650000000000000000e+03
1.130000000000000000e+02,1.184890879999999953e+02,1.596000000000000000e+03,3.726929030716844693e+01,4.144144144144146225e-02,1.665000000000000000e+03
1.140000000000000000e+02,1.195376639999999924e+02,1.607000000000000000e+03,4.012895878705717934e+01,4.345238095238090903e-02,1.680000000000000000e+03
1.150000000000000000e+02,1.205862399999999894e+02,1.621000000000000000e+03,3.696394639825857809e+01,4.365781710914451441e-02,1.695000000000000000e+03
1.160000000000000000e+02,1.216348160000000007e+02,1.636000000000000000e+03,3.580968211717794247e+01,4.327485380116957714e-02,1.710000000000000000e+03
1.170000000000000000e+02,1.226833919999999978e+02,1.649000000000000000e+03,3.931072796748151177e+01,4.405797101449271391e-02,1.725000000000000000e+03
1.180000000000000000e+02,1.237319679999999948e+02,1.664000000000000000e+03,3.700450423034111225e+01,4.367816091954024316e-02,1.740000000000000000e+03
1.190000000000000000e+02,1.247805439999999919e+02,1.678000000000000000e+03,3.724244889907214429e+01,4.387464387464390381e-02,1.755000000000000000e+03
1.200000000000000000e+02,1.258291199999999890e+02,1.688000000000000000e+03,3.695041722813605389e+01,4.632768361581918182e-02,1.770000000000000000e+03
1.210000000000000000e+02,1.268776960000000003e+02,1.706000000000000000e+03,3.487119154832539181e+01,4.425770308123244678e-02,1.785000000000000000e+03
1.220000000000000000e+02,1.279262719999999973e+02,1.716000000000000000e+03,3.955165398985652558e+01,4.666666666666663410e-02,1.800000000000000000e+03
1.230000000000000000e+02,1.289748479999999802e+02,1.731000000000000000e+03,3.752776749732567652e+01,4.628099173553723578e-02,1.815000000000000000e+03
1.240000000000000000e+02,1.300234240000000057e+02,1.744000000000000000e+03,3.608785575970583182e+01,4.699453551912569083e-02,1.830000000000000000e+03
1.250000000000000000e+02,1.310720000000000027e+02,1.759000000000000000e+03,3.637306695894642417e+01,4.661246612466130035e-02,1.845000000000000000e+03
1.260000000000000000e+02,1.321205759999999998e+02,1.769000000000000000e+03,3.839704849768187245e+01,4.892473118279572208e-02,1.860000000000000000e+03
1.270000000000000000e+02,1.331691519999999969e+02,1.787000000000000000e+03,3.696394639825857809e+01,4.693333333333338242e-02,1.875000000000000000e+03
1.280000000000000000e+02,1.342177279999999939e+02,1.802000000000000000e+03,3.842308333974947487e+01,4.656084656084658047e-02,1.890000000000000000e+03
1.290000000000000000e+02,1.352663039999999910e+02,1.812000000000000000e+03,3.666515148384544176e+01,4.881889763779523328e-02,1.905000000000000000e+03
1.300000000000000000e+02,1.363148799999999881e+02,1.828000000000000000e+03,3.435597958628648030e+01,4.791666666666671848e-02,1.920000000000000000e+03
1.310000000000000000e+02,1.373634559999999851e+02,1.843000000000000000e+03,3.559494346111537055e+01,4.754521963824287489e-02,1.935000000000000000e+03
1.320000000000000000e+02,1.384120319999999822e+02,1.854000000000000000e+03,3.726929030716844693e+01,4.923076923076918909e-02,1.950000000000000000e+03
1.330000000000000000e+02,1.394606080000000077e+02,1.867000000000000000e+03,3.754108860080290100e+01,4.987277353689567594e-02,1.965000000000000000e+03
1.340000000000000000e+02,1.405091840000000047e+02,1.880000000000000000e+03,3.608785575970583182e+01,5.050505050505049720e-02,1.980000000000000000e+03
1.350000000000000000e+02,1.415577600000000018e+02,1.894000000000000000e+03,3.696394639825857809e+01,5.062656641604013075e-02,1.995000000000000000e+03
1.360000000000000000e+02,1.426063359999999989e+02,1.908000000000000000e+03,3.822302970723278293e+01,5.074626865671638676e-02,2.010000000000000000e+03
1.370000000000000000e+02,1.436549119999999959e+02,1.921000000000000000e+03,3.464101615137754919e+01,5.135802469135797299e-02,2.025000000000000000e+03
1.380000000000000000e+02,1.447034879999999930e+02,1.933000000000000000e+03,3.666515148384544176e+01,5.245098039215689845e-02,2.040000000000000000e+03
1.390000000000000000e+02,1.457520639999999901e+02,1.946000000000000000e+03,3.637306695894642417e+01,5.304136253041358273e-02,2.055000000000000000e+03
1.400000000000000000e+02,1.468006399999999871e+02,1.960000000000000000e+03,3.696394639825857809e+01,5.314009661835750187e-02,2.070000000000000000e+03
1.410000000000000000e+02,1.478492159999999842e+02,1.977000000000000000e+03,3.674688195389281731e+01,5.179856115107916992e-02,2.085000000000000000e+03
1.420000000000000000e+02,1.488977919999999813e+02,1.989000000000000000e+03,3.700450423034111225e+01,5.285714285714282479e-02,2.100000000000000000e+03
1.430000000000000000e+02,1.499463680000000068e+02,2.001000000000000000e+03,3.464101615137754919e+01,5.390070921985812280e-02,2.115000000000000000e+03
1.440000000000000000e+02,1.509949440000000038e+02,2.013000000000000000e+03,3.696394639825857809e+01,5.492957746478877024e-02,2.130000000000000000e+03
1.450000000000000000e+02,1.520435200000000009e+02,2.028000000000000000e+03,3.551056180912940619e+01,5.454545454545456362e-02,2.145000000000000000e+03
1.460000000000000000e+02,1.530920959999999980e+02,2.041000000000000000e+03,3.527510926040248762e+01,5.509259259259258190e-02,2.160000000000000000e+03
